CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,CATEGORIA;
Dyane Sadat,Laptop,1057035,2,Cali,John,10/13/2024,Pendiente,Tecnología;
Isac Tyne,Televisor,161955,2,Cali,Karen,11/16/2024,Cancelado,Accesorios;
Anneliese Coggings,Televisor,149877,10,etc...,Oscar,12/21/2024,Pendiente,etc...;
Ingrid Sergean,Televisor,2854220,9,Cali,Karen,11/19/2024,Cerrado,Tecnología;
Any Hemshall,Celular,1227589,8,Cali,Karen,05/07/2025,Cancelado,Tecnología;
Sherye Paler,Televisor,2444952,8,Cali,Oscar,06/29/2024,Cancelado,Tecnología;
Ethan Bertie,Televisor,2603903,2,Medellín,John,05/16/2024,Cancelado,Accesorios;
Seka Eastop,Televisor,1381109,10,Medellín,Karen,07/24/2024,Cerrado,Electrodomésticos;
Jillayne Algate,etc...,1678519,3,Bogotá,Oscar,05/03/2025,Cancelado,Electrodomésticos;
Janessa Stolli,Celular,2791502,1,Medellín,John,05/26/2024,Cancelado,Tecnología;
Diego Crolla,Televisor,2632433,9,Medellín,Oscar,12/18/2024,Cerrado,etc...;
Linell Thaller,Celular,2509707,6,Medellín,Karen,03/27/2025,Cerrado,Tecnología;
Dion Burchard,Celular,948954,5,Cali,John,01/20/2025,Cerrado,etc...;
Stirling Darrigone,Televisor,1055684,3,Bogotá,John,11/21/2024,Pendiente,Electrodomésticos;
Myrilla McIlroy,Laptop,997827,7,etc...,Oscar,09/22/2024,Cancelado,Accesorios;
Joleen Enevold,Celular,1040746,8,Medellín,Oscar,06/19/2024,Cancelado,Electrodomésticos;
Blancha Petracchi,Televisor,2988993,1,etc...,John,08/22/2024,Cancelado,Tecnología;
Nert Bamford,Celular,107138,2,Bogotá,Oscar,02/16/2025,Cerrado,Electrodomésticos;
Tera Mowat,etc...,725949,10,Medellín,John,02/18/2025,Cancelado,Electrodomésticos;
Gideon Perello,Celular,1230931,4,Cali,John,11/19/2024,Cerrado,Tecnología;
Denver Fautley,Celular,459616,3,Medellín,Karen,08/24/2024,Cancelado,etc...;
Miller Audenis,etc...,665166,10,Medellín,John,08/03/2024,Pendiente,Electrodomésticos;
Correy Erickson,Televisor,1883068,9,Bogotá,Oscar,06/14/2024,Cerrado,Accesorios;
Enrica Bedbury,Celular,261088,5,Bogotá,John,12/11/2024,Cerrado,etc...;
Rich Pohlak,etc...,1325091,8,etc...,Karen,03/25/2025,Cerrado,Tecnología;
Lisbeth Scotchmur,Celular,2447546,9,Medellín,Karen,08/18/2024,Pendiente,Electrodomésticos;
Falito Braniff,etc...,1922065,7,Medellín,John,05/23/2024,Pendiente,Tecnología;
Stephan Yanin,etc...,2926876,10,Cali,John,05/07/2024,Cerrado,Accesorios;
Sibley Bishop,Laptop,605960,8,etc...,Karen,05/06/2025,Cancelado,Accesorios;
Ardene Dearing,etc...,998254,4,etc...,Karen,01/02/2025,Pendiente,Tecnología;
Cynthie Tinan,Laptop,2148774,1,Cali,Oscar,01/11/2025,Pendiente,etc...;
Odetta Flemyng,Laptop,1706074,3,Bogotá,Oscar,09/10/2024,Cancelado,etc...;
Ninette McCleverty,Laptop,2622799,10,Medellín,John,04/19/2025,Cancelado,Tecnología;
Brent Piche,Televisor,1754609,4,etc...,John,10/13/2024,Cerrado,etc...;
Kiley Shorie,Celular,1942846,5,Bogotá,John,03/21/2025,Pendiente,Electrodomésticos;
Clair Mathey,Televisor,2028695,5,Bogotá,Oscar,07/19/2024,Pendiente,Accesorios;
Augustus Godier,Celular,2673467,1,etc...,John,04/16/2025,Cancelado,Accesorios;
Ester Gaine of England,etc...,2852611,8,etc...,John,03/30/2025,Cancelado,Tecnología;
Antonin Volks,Celular,2998543,10,Bogotá,John,03/14/2025,Cerrado,etc...;
Leroi Drake,Televisor,2030064,5,Medellín,Oscar,12/02/2024,Pendiente,etc...;
Julina Guy,Celular,2026784,6,Bogotá,John,09/17/2024,Pendiente,etc...;
Alayne Upcott,Televisor,2497305,7,etc...,Oscar,10/29/2024,Pendiente,Tecnología;
Carlye Harmston,Laptop,455288,2,etc...,Oscar,08/01/2024,Pendiente,etc...;
Burch Guerra,Laptop,889297,8,Bogotá,Karen,07/23/2024,Cancelado,Accesorios;
Jenn Halversen,Laptop,2791130,7,Cali,John,09/19/2024,Cancelado,Accesorios;
Stephana Schnieder,Televisor,1941726,10,Cali,Karen,09/03/2024,Pendiente,Accesorios;
Major Battle,Televisor,1526431,2,Medellín,Oscar,04/27/2025,Pendiente,Tecnología;
Bern Brendeke,Celular,1041643,2,Cali,Karen,11/08/2024,Cancelado,Accesorios;
Rem Petkovic,Televisor,2756501,9,Cali,John,09/20/2024,Pendiente,Accesorios;
Jessey Cluitt,Laptop,2867751,7,etc...,John,10/29/2024,Pendiente,Tecnología;
Powell Isherwood,Televisor,2916204,6,etc...,Oscar,03/26/2025,Cerrado,etc...;
Pippy Ibbitt,Laptop,2162147,6,Medellín,Karen,06/18/2024,Pendiente,Accesorios;
Merci Jelly,Laptop,1176899,1,etc...,Oscar,05/14/2024,Cerrado,Tecnología;
Koenraad O'Lyhane,Celular,2720699,7,Cali,Karen,01/27/2025,Cerrado,Accesorios;
Paxton Tyrone,Laptop,1688189,1,Cali,Karen,07/03/2024,Pendiente,etc...;
Kaiser Elcott,etc...,1386071,1,etc...,Oscar,06/16/2024,Cerrado,Accesorios;
Lay Micka,Celular,1082781,9,Cali,Oscar,10/04/2024,Pendiente,Tecnología;
Goldie Spurgin,Laptop,1027985,2,Cali,Karen,03/23/2025,Cancelado,Electrodomésticos;
Julian Lillywhite,etc...,1703340,1,etc...,Oscar,08/26/2024,Cerrado,Accesorios;
Anthe Chable,Celular,2147221,1,Cali,John,03/12/2025,Cerrado,Electrodomésticos;
Keith Danilovitch,Laptop,1399221,8,etc...,Karen,03/15/2025,Pendiente,Tecnología;
Krishnah Ruscoe,etc...,2114153,3,Bogotá,Oscar,01/19/2025,Pendiente,Accesorios;
Idaline Spitaro,Televisor,1657342,2,Bogotá,John,05/09/2025,Cerrado,etc...;
Perle Brownsea,Celular,856980,7,Medellín,Oscar,01/02/2025,Cerrado,Electrodomésticos;
Etty Prevost,Laptop,1775529,3,etc...,Karen,06/24/2024,Pendiente,Tecnología;
Katrina Dibbert,etc...,1121690,3,Bogotá,Karen,08/29/2024,Cerrado,Tecnología;
Talbot Matissoff,Laptop,2009494,2,Cali,Oscar,05/09/2024,Cancelado,Tecnología;
Inessa Mazin,Laptop,151086,3,Cali,Karen,01/17/2025,Cancelado,etc...;
Milka Crackel,Laptop,2532390,10,Bogotá,Oscar,05/19/2024,Pendiente,Electrodomésticos;
Bonnee Grandin,Laptop,2261185,5,Medellín,John,12/09/2024,Cerrado,Electrodomésticos;
Liana Emslie,Laptop,2534380,1,Cali,John,11/14/2024,Pendiente,Accesorios;
Joanne Matuszkiewicz,Televisor,2685576,5,Bogotá,Oscar,06/05/2024,Cancelado,Electrodomésticos;
Sigismundo Magrane,Celular,1646032,2,Bogotá,John,09/23/2024,Pendiente,Electrodomésticos;
Aldo McEachern,Televisor,716174,7,etc...,Oscar,06/25/2024,Cancelado,etc...;
Lizzy Gorman,Televisor,2654482,5,Cali,John,04/14/2025,Cancelado,Accesorios;
